x_value,total_1,total_2
0,1000,1000
1,997,998
2,1004,995
3,1006,995
4,1013,990
5,1011,990
6,1018,988
7,1025,994
8,1020,994
9,1020,997
10,1025,992
11,1033,996
12,1037,1000
13,1033,998
14,1030,1002
15,1034,997
16,1036,1003
17,1031,1006
18,1032,1004
19,1027,1000
20,1035,1002
21,1042,1008
22,1048,1014
23,1047,1016
24,1041,1011
25,1037,1008
26,1032,1011
27,1040,1008
28,1042,1014
29,1042,1020
30,1036,1019
31,1043,1018
32,1038,1013
33,1041,1017
34,1044,1018
35,1046,1015
36,1042,1019
37,1045,1018
38,1043,1022
39,1041,1018
40,1048,1017
41,1056,1019
42,1060,1022
43,1068,1022
44,1070,1028
45,1065,1033
46,1073,1034
47,1080,1034
48,1081,1034
49,1077,1030
50,1077,1032
51,1081,1037
52,1087,1041
53,1085,1047
54,1086,1046
55,1084,1049
56,1079,1052
57,1084,1047
58,1082,1053
59,1079,1048
60,1087,1054
61,1092,1060
62,1100,1060
63,1094,1057
64,1094,1055
65,1100,1058
66,1102,1056
67,1110,1055
68,1117,1061
69,1120,1059
70,1117,1057
71,1123,1063
72,1130,1064
73,1134,1064
74,1134,1064
75,1133,1059
76,1133,1064
77,1130,1068
78,1135,1068
79,1135,1064
80,1139,1070
81,1142,1068
82,1148,1073
83,1147,1074
84,1154,1070
85,1158,1065
86,1154,1068
87,1156,1074
88,1158,1076
89,1154,1079
90,1160,1075
91,1157,1078
92,1154,1080
93,1156,1078
94,1155,1073
95,1151,1073
96,1149,1072
97,1145,1077
98,1150,1079
99,1147,1080
100,1153,1083
101,1147,1081
102,1153,1085
103,1153,1080
104,1159,1076
105,1166,1075
106,1166,1071
107,1161,1069
108,1160,1074
109,1165,1069
110,1173,1074
111,1180,1073
112,1180,1078
113,1185,1074
114,1180,1078
115,1175,1073
116,1181,1071
117,1187,1071
118,1190,1075
119,1187,1073
120,1191,1078
121,1191,1079
122,1186,1085
123,1191,1083
124,1195,1088
125,1189,1093
126,1186,1092
127,1193,1096
128,1199,1100
129,1198,1101
130,1201,1105
131,1195,1104
132,1191,1104
133,1193,1105
134,1197,1100
135,1201,1096
136,1202,1098
137,1204,1094
138,1209,1098
139,1217,1103
140,1220,1103
141,1214,1106
142,1221,1102
143,1221,1107
144,1228,1102
145,1235,1097
146,1230,1095
147,1231,1091
148,1231,1086
149,1233,1087
150,1238,1087
151,1236,1085
152,1234,1082
153,1241,1082
154,1244,1080
155,1242,1082
156,1246,1083
157,1245,1086
158,1239,1092
159,1239,1093
160,1237,1091
161,1241,1093
162,1245,1096
163,1242,1091
164,1250,1096
165,1251,1096
166,1253,1098
